dataset_id	signature	comparison	pearson_r	pearson_pvalue	spearman_rho	spearman_pvalue	n	pearson_fdr	spearman_fdr
GSE162694	Macrophages	prior_signature_vs_endotype_1	0.747802419756321	2.730820340608263e-21	0.6702856459493628	6.315940560212466e-16	112	1.6241194657301774e-20	3.244096742290949e-15
GSE162694	Macrophages C0	prior_signature_vs_endotype_1	0.8267187863867658	3.0506721890689397e-29	0.8370178016195715	1.4119671667182143e-30	112	4.924656533782717e-28	3.9888072459789555e-29
GSE162694	Macrophages C1	prior_signature_vs_endotype_1	0.8025121882303985	2.003110901743632e-26	0.7823145522260567	2.339949810357121e-24	112	2.057741199063913e-25	3.3051791071294333e-23
GSE162694	Macrophages C2	prior_signature_vs_endotype_1	0.7514491961300283	1.3680938649276272e-21	0.7124320907506748	1.268485592372501e-18	112	9.093800396283638e-21	9.555924795872841e-18
GSE162694	Monocytes	prior_signature_vs_endotype_1	0.7429798356808066	6.6905621933848764e-21	0.683850411726518	9.589001465578064e-17	112	3.7801676392624554e-20	6.019762031168451e-16
GSE162694	NAFL signature	prior_signature_vs_endotype_1	0.5389224563063221	8.794393792057941e-10	0.5275310076195032	2.2827168657494684e-09	112	2.4844162462563684e-09	6.4486751457422485e-09
GSE162694	NASH signature	prior_signature_vs_endotype_1	0.6014626549386035	2.337081313349849e-12	0.4634058837598661	2.671114861706935e-07	112	8.252818387766654e-12	5.695018478733653e-07
GSE162694	NK cells	prior_signature_vs_endotype_1	0.4731923381822788	1.3734304045632915e-07	0.5136672703044385	6.956075898020206e-09	112	2.8217751948300355e-07	1.7864467647188256e-08
GSE162694	Profibrotic Macrophages	prior_signature_vs_endotype_1	0.8670193607021144	4.5973166209521116e-35	0.85286329312878	8.016377351260804e-33	112	1.7316559272252953e-33	4.529253203462354e-31
GSE163211	CD8 T-cell signature	prior_signature_vs_endotype_1	0.6711012778086297	1.6790972496140376e-21	0.6011730205278593	1.6725817375697746e-16	154	1.0540999400354792e-20	9.947459807651816e-16
GSE163211	Cholangiocytes	prior_signature_vs_endotype_1	0.43428291973680805	1.8320255606754284e-08	0.3682676589697462	2.6135343055986226e-06	154	4.3128935074234045e-08	5.181217132151656e-06
