dataset_id	sample_id	signature	score
GSE48452	GSM1178991	Fibrosis signature	-1.5150851084041919
GSE48452	GSM1178991	NAFL signature	0.7037103103924802
GSE48452	GSM1178991	Liver aging signature	-1.3612267655827517
GSE48452	GSM1178991	HSC TGF-beta signature	-0.9821775542750173
GSE48452	GSM1178991	Hepatocytes	0.1351948398840985
GSE48452	GSM1178991	Cholangiocytes	-0.7723882436596008
GSE48452	GSM1178991	B cells	-0.8514739757275479
GSE48452	GSM1178991	CD4 T-cell signature	-0.7945759008696595
GSE48452	GSM1178991	CD8 T-cell signature	0.1246927417960774
GSE48452	GSM1178991	Endothelial cells	-3.3026690346139684
GSE48452	GSM1178991	Kupffer cells	-1.8316095441697984
GSE48452	GSM1178991	Macrophages	-1.123675407637592
GSE48452	GSM1178991	Monocytes	-0.7983831701885369
GSE48452	GSM1178991	NK cells	0.7509459592759311
GSE48452	GSM1178991	CD14+Monocytes	-1.2866029643480812
GSE48452	GSM1178991	CD16+Monocytes	-2.309570518418843
GSE48452	GSM1178991	Macrophages C0	-0.9846902788038174
GSE48452	GSM1178991	Macrophages C1	-2.86110859077839
GSE48452	GSM1178991	Macrophages C2	-1.635629455259896
GSE48452	GSM1178991	Profibrotic Macrophages	-2.1319027008557923
GSE48452	GSM1178992	NASH signature	-0.013860673602551225
GSE48452	GSM1178992	Fibrosis signature	-0.15706859400312048
GSE48452	GSM1178992	NAFL signature	-0.47495198560562735
GSE48452	GSM1178992	Liver aging signature	0.5749136022415626
GSE48452	GSM1178992	HSC TGF-beta signature	0.19549140713081636
GSE48452	GSM1178992	Hepatocytes	-0.010333327210160732
GSE48452	GSM1178992	Cholangiocytes	-0.20734798782569822
GSE48452	GSM1178992	B cells	1.1436623123861749
GSE48452	GSM1178992	CD4 T-cell signature	0.5768175478103682
GSE48452	GSM1178992	CD8 T-cell signature	0.7185993080942109
GSE48452	GSM1178992	Endothelial cells	-0.17075196844764542
GSE48452	GSM1178992	Kupffer cells	0.8510747248538924
