signature	rank	gene	source	doi	source_table
NAFL signature	19	EIF1AY	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
NAFL signature	20	LRRC31	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
NAFL signature	21	ISM1	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
NAFL signature	22	FDFT1	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
NAFL signature	23	GCK	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
NAFL signature	24	NPY6R	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
NAFL signature	25	DHRS7	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
NAFL signature	26	MAMDC4	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
NAFL signature	27	RPS4Y1	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
NAFL signature	28	TOR3A	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
NAFL signature	29	SQLE	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
NAFL signature	30	AKR1B10	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Liver aging signature	1	CHI3L1	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Liver aging signature	2	MARCO	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Liver aging signature	3	CD5L	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Liver aging signature	4	C1QB	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Liver aging signature	5	TBX15	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Liver aging signature	6	FOS	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Liver aging signature	7	LGALS4	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Liver aging signature	8	PZP	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Liver aging signature	9	IER3	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Liver aging signature	10	TRIM15	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Liver aging signature	11	CPVL	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Liver aging signature	12	C1QC	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Liver aging signature	13	CXCL9	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Liver aging signature	14	MX1	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Liver aging signature	15	CDKN1A	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Liver aging signature	16	MX2	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Liver aging signature	17	C1QA	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Liver aging signature	18	CXCL13	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Liver aging signature	19	CDHR2	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Liver aging signature	20	SERPINE1	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Liver aging signature	21	IGKC	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
